id,salary
2,150280.17
3,144972.51
8,186469.43
9,231067.84
11,210001.95
14,286592.99
15,157099.71
16,239100.65
17,116800.65
18,248877.99
19,177122.99
20,137251.19
22,131283.64
23,182233.49
24,278001.46
25,176178.75
26,170085.81
27,284300.15
28,108950.24
29,247939.52
30,118310.72
31,135007.96
32,149720.75
33,242593.85
34,109644.23
39,134708.82
41,212105.33
42,284728.99
43,213410.26
44,133884.94
46,111569.22
48,199100.32
49,210631.91
50,256068.38
51,100269.36
52,173300.37
53,168208.4
54,153238.6
56,200827.88
57,184978.64
58,144164.88
60,179378.0
61,197445.45
62,118311.39
63,129632.55
64,280933.71
66,152382.69
67,268468.96
68,234502.16
69,146917.43
70,253108.75
76,179193.6
77,121013.48
78,166987.55
80,110408.87
84,131855.43
85,145282.64
87,265985.0
88,242129.05
89,258772.36
90,100733.44
92,105051.77
93,155597.16
94,181481.5
96,130054.63
97,238119.62
100,175694.61
101,241582.88
102,177230.52
108,275527.02
110,203281.91
112,172847.04
113,266115.82
114,193643.49
115,122235.49
117,268876.47
118,130062.87
119,259437.58
121,249075.17
122,248316.41
125,278872.56
127,271474.26
128,122968.8
129,250832.85
131,243703.19
133,239135.31
134,178852.92
135,103227.22
136,141382.82
137,274927.74
140,178720.21
142,250638.66
143,267939.14
146,163038.6
147,227328.5
148,150483.67
149,236421.33
150,188108.3
151,271506.13
153,181053.56
154,135993.67
155,165737.68
156,121634.14
157,155562.05
159,270033.06
161,121854.47
164,111919.52
170,244488.5
171,210675.65
172,116359.29
177,127715.63
179,260476.46
181,225343.37
182,234655.06
183,235320.55
184,220720.28
185,143901.18
186,100391.51
188,229308.44
189,269325.43
191,127088.79
192,217105.5
195,239690.34
196,195580.83
200,173849.81
201,252555.65
209,210044.79
210,286061.25
211,196346.52
212,112783.86
213,185445.08
214,247208.27
215,218538.31
216,166171.93
217,248037.18
218,236048.29
221,111349.02
223,277545.53
224,101840.77
225,220302.18
228,280888.16
229,158817.59
230,265655.28
231,242128.51
233,216475.48
236,152915.75
237,239971.48
238,144903.68
241,269519.07
242,220086.62
243,219259.56
245,185682.77
246,123396.5
249,244640.93
250,220315.05
252,266675.71
254,118900.17
255,208080.39
257,271701.21
258,213693.1
259,144380.34
260,168286.74
261,279439.22
262,206503.74
263,120323.4
267,158186.92
268,210773.28
269,207226.25
270,183331.47
271,163970.4
274,278945.86
275,181694.23
276,218124.48
278,152568.71
280,102882.64
281,252768.16
283,100320.59
285,220625.63
286,214031.75
287,170057.49
288,209939.32
290,168177.8
291,109927.88
292,256483.86
295,189933.73
300,275864.65
302,215535.07
304,137009.08
306,112092.4
308,209961.64
309,281530.51
311,131098.87
312,249091.37
314,211553.57
316,247710.03
317,231781.92
318,250583.46
319,154295.86
321,240114.44
322,140594.79
323,245612.21
324,120044.03
325,177875.38
327,208938.05
328,267126.78
329,238760.12
330,179172.97
331,194872.52
332,127100.05
334,101175.81
335,109168.52
336,228238.52
337,192269.48
338,186570.75
341,161602.37
342,121573.25
344,252594.23
346,167210.78
347,143816.5
349,165534.61
352,138081.99
353,148825.47
357,114950.54
360,177415.14
361,164723.77
362,268319.27
363,107626.35
365,271300.84
366,210363.08
367,163535.84
369,227366.9
371,164259.17
372,216595.18
373,247662.42
374,277868.56
375,118244.57
376,268155.43
378,135382.18
381,279624.98
382,205132.28
383,272520.3
384,265265.73
386,234028.75
387,168161.22
389,200958.14
391,163436.24
392,245592.99
395,177269.3
396,150158.33
397,101833.88
402,196144.17
404,227502.55
405,114445.23
406,197654.56
408,156089.8
410,194611.56
411,108774.52
413,241268.34
414,213025.8
415,235677.36
416,253339.32
417,134104.24
418,119457.8
420,279008.12
421,241297.92
422,145109.54
423,257957.99
425,206566.95
427,197529.02
430,171353.17
431,249731.91
432,234820.44
434,223140.16
438,281518.5
439,232876.5
440,121560.76
441,132289.77
442,166409.44
444,111361.12
445,166435.27
447,220722.0
449,193580.95
450,204807.62
451,279777.18
453,193301.99
454,264109.73
456,175537.91
457,113920.64
458,253248.63
459,262822.78
461,264459.67
462,283517.64
463,265291.91
467,271799.8
470,235606.76
473,279373.0
474,242298.31
475,138775.31
477,136458.61
479,262448.45
480,166307.76
482,192652.33
483,194143.4
484,282494.15
486,231726.14
487,102377.28
492,179035.39
494,191792.39
496,274191.96
497,275697.75
498,172932.61
499,236136.96
500,182987.09
505,160751.9
507,215282.56
508,248256.39
510,129493.53
511,256375.52
512,256217.09
513,192489.94
514,155432.51
515,186069.11
516,132126.11
517,238683.97
518,284062.49
520,259912.24
521,262816.87
522,216380.44
523,106832.85
524,108844.98
526,284737.57
529,182417.34
531,191889.2
533,261618.16
535,189726.31
536,265930.69
537,111830.3
539,231014.0
541,140645.72
542,220421.92
543,163366.16
544,152877.19
545,102158.99
547,168212.17
548,103456.02
549,154604.49
551,275248.4
552,244252.11
554,115826.12
555,186393.54
558,274506.11
559,209322.0
562,100606.14
563,238206.66
564,159810.79
565,266115.61
568,238001.85
569,197315.0
570,243124.42
572,159841.26
575,273445.92
576,181281.38
577,187012.51
578,123251.02
579,171058.16
580,232187.53
582,146425.12
587,203636.42
589,278447.61
590,174954.95
591,244134.1
593,230699.71
594,235516.87
596,121369.63
597,278127.82
598,101509.37
599,131270.12
600,181835.15
603,276274.17
605,258321.2
607,169429.76
608,145347.39
610,254300.0
612,131070.41
613,231766.59
614,131783.55
616,105434.9
618,273837.25
619,141192.26
620,190684.63
621,190499.55
624,108673.32
625,122077.1
626,113069.82
628,197146.28
629,179065.48
630,187565.22
631,245149.04
633,276712.79
634,107814.36
635,265321.18
637,229694.81
638,252705.89
639,273048.56
640,177925.54
642,284608.82
643,201611.79
644,192319.06
650,102618.68
651,111292.6
652,165171.96
653,127912.54
654,216222.79
656,247539.54
657,202888.31
658,101734.8
659,183928.71
661,150782.23
662,272850.84
663,149849.0
664,257366.0
667,192187.5
668,119679.62
669,186605.54
670,274295.42
671,106263.77
672,120614.19
674,204551.91
675,208052.78
676,170234.61
677,181413.87
679,124768.37
681,210804.85
682,211890.0
686,116903.95
687,278653.1
689,231721.8
690,261701.73
692,124322.86
693,210377.48
694,125776.52
696,206165.0
697,234723.0
698,267304.2
699,146980.49
700,155683.89
701,154249.82
703,250792.0
704,143785.39
705,115133.62
707,116075.67
708,212070.86
710,109632.96
711,161093.15
712,125946.64
713,220176.18
715,173265.26
716,182541.43
