country,c
China,189
Indonesia,97
Russia,62
Philippines,45
Brazil,38
Portugal,38
France,37
Poland,35
Sweden,25
Japan,20
Canada,19
United States,17
Ukraine,16
Peru,14
Colombia,14
Argentina,13
Thailand,12
Czech Republic,12
Finland,11
Nigeria,11
Mexico,11
South Africa,9
Malaysia,8
Bosnia and Herzegovina,8
Greece,7
Kazakhstan,7
Vietnam,7
Macedonia,6
Tanzania,6
Pakistan,6
Yemen,5
Palestinian Territory,5
Norway,5
Guatemala,5
Ethiopia,5
Serbia,5
Germany,4
Belarus,4
Chile,4
Bolivia,4
Venezuela,4
Mongolia,4
Armenia,4
Honduras,4
Slovenia,4
Bulgaria,4
Egypt,4
Netherlands,4
Albania,3
Cuba,3
Central African Republic,3
Iran,3
Ireland,3
Democratic Republic of the Congo,3
Morocco,3
South Korea,3
Azerbaijan,3
Tunisia,3
Uganda,3
Namibia,3
Cameroon,3
Nepal,3
Burkina Faso,3
Afghanistan,2
Ivory Coast,2
Sudan,2
Sri Lanka,2
Ecuador,2
Nicaragua,2
Malta,2
Italy,2
Bangladesh,2
Laos,2
Cape Verde,2
Israel,2
Oman,2
Estonia,2
Zimbabwe,2
Latvia,2
Dominican Republic,2
Luxembourg,2
Australia,2
Mauritius,2
